s_id,link_id,start_lon,start_lat,end_lon,end_lat
3260236100_0003,3260236100,127.54716,34.920426,127.546614,34.920404
3260236100_0004,3260236100,127.546614,34.920404,127.546067,34.920395
3260236100_0005,3260236100,127.546067,34.920395,127.545797,34.920395
3260232700_0000,3260232700,127.543092,34.91967,127.543607,34.919824
3260232700_0001,3260232700,127.543607,34.919824,127.544122,34.919976
3260232700_0002,3260232700,127.544122,34.919976,127.544638,34.920126
3260232700_0003,3260232700,127.544638,34.920126,127.54515,34.920285
3260232700_0004,3260232700,127.54515,34.920285,127.545658,34.92034
3260237200_0000,3260237200,127.560065,34.929429,127.55976,34.929198
3250013520_0000,3250013520,127.579039,34.786245,127.578504,34.786338
3250013520_0001,3250013520,127.578504,34.786338,127.57797,34.78643
3250013520_0002,3250013520,127.57797,34.78643,127.577435,34.786523
3250013520_0003,3250013520,127.577435,34.786523,127.576901,34.786618
3250013520_0004,3250013520,127.576901,34.786618,127.576373,34.786733
3250013520_0005,3250013520,127.576373,34.786733,127.575854,34.78687
3250013520_0006,3250013520,127.575854,34.78687,127.575748,34.786908
3250119505_0000,3250119505,127.588578,34.771677,127.58845,34.771731
3280201901_0000,3280201901,127.693407,35.050217,127.69331,35.050311
3250005829_0000,3250005829,127.619421,34.73835,127.6191,34.73871
3250005829_0001,3250005829,127.6191,34.73871,127.618687,34.738999
3250005829_0002,3250005829,127.618687,34.738999,127.618218,34.73923
3250005829_0003,3250005829,127.618218,34.73923,127.617834,34.739542
3250005829_0004,3250005829,127.617834,34.739542,127.617554,34.739929
3250005829_0005,3250005829,127.617554,34.739929,127.617176,34.740244
3250005829_0006,3250005829,127.617176,34.740244,127.616648,34.740341
3250005829_0007,3250005829,127.616648,34.740341,127.616109,34.740377
3250005829_0008,3250005829,127.616109,34.740377,127.615585,34.740504
3250005829_0009,3250005829,127.615585,34.740504,127.615512,34.740521
3280010023_0000,3280010023,127.588208,34.950901,127.588036,34.951329
3280010023_0001,3280010023,127.588036,34.951329,127.587863,34.951756
3280010023_0002,3280010023,127.587863,34.951756,127.58769,34.952184
3280010023_0003,3280010023,127.58769,34.952184,127.587517,34.952611
3280010023_0004,3280010023,127.587517,34.952611,127.587345,34.953039
3280010023_0005,3280010023,127.587345,34.953039,127.58733,34.953079
3260016910_0000,3260016910,127.576661,34.939276,127.57653,34.938839
3260016910_0001,3260016910,127.57653,34.938839,127.576438,34.938469
3250005894_0000,3250005894,127.605536,34.742169,127.605223,34.742516
3250005894_0001,3250005894,127.605223,34.742516,127.604786,34.742787
3250005894_0002,3250005894,127.604786,34.742787,127.604322,34.74302
3250005894_0003,3250005894,127.604322,34.74302,127.60379,34.743028
3250005894_0004,3250005894,127.60379,34.743028,127.603274,34.742882
3250005894_0005,3250005894,127.603274,34.742882,127.602759,34.74273
3250005894_0006,3250005894,127.602759,34.74273,127.602245,34.742578
3250005894_0007,3250005894,127.602245,34.742578,127.601733,34.742422
3250005894_0008,3250005894,127.601733,34.742422,127.601527,34.742354
3250010000_0000,3250010000,127.584083,34.773547,127.584504,34.773261
3250010000_0001,3250010000,127.584504,34.773261,127.58496,34.773016
3250010000_0002,3250010000,127.58496,34.773016,127.585447,34.772811
3250010000_0003,3250010000,127.585447,34.772811,127.585949,34.772635
3250010000_0004,3250010000,127.585949,34.772635,127.586209,34.772543
